Artist_Name,Channel_Name,Song_Name,Video_Description,YouTube_Link,
AKMU,Akdong Musician (AKMU),Give Love,Dance Practice,https://www.youtube.com/watch?v=aomI9IvlWiY,
AKMU,Akdong Musician (AKMU),Give Love,Official MV,https://www.youtube.com/watch?v=x2XX3cNW4K0,
AKMU,Akdong Musician (AKMU),How People Move,Dance Practice,https://www.youtube.com/watch?v=OI4e5VhwnLM,
AKMU,Akdong Musician (AKMU),How People Move,Official MV,https://www.youtube.com/watch?v=sbc2yBheAbo,
AKMU,Akdong Musician (AKMU),Last Goodbye,Official MV,https://www.youtube.com/watch?v=wEQpfil0IYA,
AKMU,Akdong Musician (AKMU),Melted,Official MV,https://www.youtube.com/watch?v=sUCIzn0mRHc,
AKMU,Akdong Musician (AKMU),Re-Bye,Dance Practice,https://www.youtube.com/watch?v=6bhoypqmpRc,
AKMU,Akdong Musician (AKMU),Re-Bye,Official MV,https://www.youtube.com/watch?v=ST8O-AeY3Uo,
AOA,AOA,Bing Bing,Official Music Video,https://www.youtube.com/watch?v=e50F8MreYig,
AOA,AOA,Confused,Official Music Video,https://www.youtube.com/watch?v=R1-BTf3_Mys,
AOA,AOA,Elvis,Official Music Video,https://www.youtube.com/watch?v=e5KOIrBcwj8,
AOA,AOA,Excuse Me,Official Music Video,https://www.youtube.com/watch?v=WhXefyLs-uw,
AOA,AOA,Good Luck,Official Music Video,https://www.youtube.com/watch?v=gZusjfI8PdQ,
AOA,AOA,Heart Attack,Official Music Video,https://www.youtube.com/watch?v=1pBgMBBsv4k,
AOA,AOA,Like a Cat,Official Music Video,https://www.youtube.com/watch?v=qEYOyZVWlzs,
AOA,AOA,Mini Skirt,Official Music Video,https://www.youtube.com/watch?v=q6f-LLM1H6U,
AOA,AOA,Short Hair,Official Music Video,https://www.youtube.com/watch?v=N5wzkQvzp4c,
Astro,ASTRO,Baby,Official Music Video,https://www.youtube.com/watch?v=IwqEXtsvaDg,
Astro,fantagio,Breathless,Official Music Video,https://www.youtube.com/watch?v=aBNyHAasnSM,
Astro,fantagio,Confession,Official Music Video,https://www.youtube.com/watch?v=tuAm9KH2dkY,
Astro,ASTRO,Crazy Sexy Cool,Official Music Video,https://www.youtube.com/watch?v=xeUx0AN2kCA,
Astro,fantagio,Hide&Seek,Official Music Video,https://www.youtube.com/watch?v=KEgSjGQEZnM,
Astro,fantagio,Hide&Seek,Performance Version,https://www.youtube.com/watch?v=jT1zdCZnEww,
BEAST,BEAST Official Youtube Channel,Bad Girl,Official Music Video,https://www.youtube.com/watch?v=fA_rXpyF67s,
BEAST,BEAST Official Youtube Channel,Beautiful,Official Music Video,https://www.youtube.com/watch?v=Ur7mtOA1ST4,
BEAST,BEAST Official Youtube Channel,Beautiful Night,Official Music Video,https://www.youtube.com/watch?v=ckIGhwQtd-c,
BEAST,BEAST Official Youtube Channel,Breath,Official Music Video,https://www.youtube.com/watch?v=HTbC1UsBtek,
BEAST,BEAST Official Youtube Channel,Fiction,Official Music Video,https://www.youtube.com/watch?v=ZAzWT8mRoR0,
BEAST,BEAST Official Youtube Channel,Good Luck,Official Music Video,https://www.youtube.com/watch?v=Hs8QGv2VqJA,
BEAST,BEAST Official Youtube Channel,Mystery,Special Music Video,https://www.youtube.com/watch?v=wv7Yn31Efx0,
BEAST,BEAST Official Youtube Channel,Ribbon,Official Music Video,https://www.youtube.com/watch?v=QQXsknBbcG0,
BEAST,BEAST Official Youtube Channel,Shadow,Official Music Video,https://www.youtube.com/watch?v=7Y3ZRYQl4Qo,
BEAST,BEAST Official Youtube Channel,Shock,Official Music Video,https://www.youtube.com/watch?v=JXxGo1MvNls,
BEAST,BEAST Official Youtube Channel,YeY,Official Music Video,https://www.youtube.com/watch?v=8JQJ83aFNo8,
Berry Good,CJENMMUSIC Official,Angel,Official Music Video,https://www.youtube.com/watch?v=b6tfeK4NLuU,
Berry Good,1theK,Because of You,Official Music Video,https://www.youtube.com/watch?v=_ITfI3XC-3Q,
Berry Good,1theK,BibbidiBobbidiBoo,Official Music Video,https://www.youtube.com/watch?v=dTdsfJj4YlA,
Berry Good,CJENMMUSIC Official,Don't Believe,Official Music Video,https://www.youtube.com/watch?v=bAicySTsvLo,
Berry Good,Genie Music,Love Letter,Official Music Video,https://www.youtube.com/watch?v=2cgmVZgqpfI,
Bestie,1theK,Excuse Me,Official Music Video,https://www.youtube.com/watch?v=AuVi2ib-0qQ,
Bestie,1theK,Hot Baby,Official Music Video,https://www.youtube.com/watch?v=mS0-Rw2mfco,
Bestie,1theK,Love Options,Official Music Video,https://www.youtube.com/watch?v=NPqtL1dtrlA,
Bestie,1theK,PitaPat,Official Music Video,https://www.youtube.com/watch?v=gtyi5LQdfBE,
Bestie,1theK,Thank U Very Much,Official Music Video,https://www.youtube.com/watch?v=BS3BYJYhEk4,
BIgBang,BIGBANG,Bad Boy,Official Music Video,https://www.youtube.com/watch?v=1qnV55LUFVM,
BigBang,BIGBANG,Bae Bae,Official Music Video,https://www.youtube.com/watch?v=TKD03uPVD-Q,
BigBang,BIGBANG,Bang Bang Bang,Official Music Video,https://www.youtube.com/watch?v=2ips2mM7Zqw,
Bigbang,BIGBANG,Blue,Official Music Video,https://www.youtube.com/watch?v=2GRP1rkE4O0,
BigBang,BIGBANG,Fantastic Baby,Official Music Video,https://www.youtube.com/watch?v=AAbokV76tkU,
BigBang,BIGBANG,FXXK IT,Official Music Video,https://www.youtube.com/watch?v=iIPH8LFYFRk,
Bigbang,BIGBANG,Let's Not Fall In Love,SBS Live Performance,https://www.youtube.com/watch?v=R52TP_heVWk,
BigBang,BIGBANG,Loser,Official Music Video,https://www.youtube.com/watch?v=1CTced9CMMk,
BigBang,BIGBANG,Sober,Official Music Video,https://www.youtube.com/watch?v=MBNQgq56egk,
